scaffold	start	end	mid	sites	lnL
chr_MT	5	297	166	25	-126.93483
chr_MT	302	436	383	25	-132.34508
chr_MT	439	728	577	25	-117.67533
chr_MT	733	897	823	25	-121.79954
chr_MT	898	1037	958	25	-131.62113
chr_MT	1038	1190	1121	25	-98.13354
chr_MT	1205	1473	1311	25	-121.87942
chr_MT	1498	1634	1574	25	-111.18869
chr_MT	1635	1760	1699	25	-118.94907
chr_MT	1779	1873	1836	25	-125.46520
chr_MT	1879	2119	1952	25	-131.10732
chr_MT	2120	2255	2206	25	-107.16141
chr_MT	2256	2590	2386	25	-142.27834
chr_MT	2608	2701	2652	25	-115.86286
chr_MT	2706	2845	2799	25	-127.44649
chr_MT	2846	2981	2915	25	-154.34696
chr_MT	2984	3096	3044	25	-132.89720
chr_MT	3101	3215	3146	25	-117.68900
chr_MT	3218	3350	3286	25	NA
chr_MT	3359	3512	3436	25	-137.77524
chr_MT	3513	3590	3555	25	-127.13821
chr_MT	3593	3713	3645	25	-118.74296
chr_MT	3725	3860	3782	25	-167.49248
chr_MT	3863	4090	4010	25	-138.94940
chr_MT	4096	4195	4144	25	-130.58457
chr_MT	4198	4298	4245	25	-141.00299
chr_MT	4300	4408	4359	25	-141.71476
chr_MT	4426	4537	4475	25	NA
chr_MT	4549	4720	4638	25	-126.30636
chr_MT	4726	4876	4808	25	-130.31099
chr_MT	4877	4990	4930	25	NA
chr_MT	4993	5129	5056	25	NA
chr_MT	5134	5413	5267	25	-119.02918
chr_MT	5419	5596	5512	25	-90.84568
chr_MT	5605	5752	5685	25	-123.74463
chr_MT	5755	5893	5822	25	-156.19250
chr_MT	5896	6058	5981	25	-128.01217
chr_MT	6067	6217	6140	25	-132.83585
chr_MT	6223	6377	6304	25	-135.03157
chr_MT	6382	6535	6455	25	-145.73169
chr_MT	6547	6703	6616	25	-141.89570
chr_MT	6704	6854	6781	25	-149.97193
chr_MT	6859	7088	6985	25	-131.69372
chr_MT	7091	7260	7183	25	NA
chr_MT	7270	8054	7663	25	-123.17497
chr_MT	8057	8159	8111	25	NA
chr_MT	8160	8324	8244	25	-133.17036
chr_MT	8327	8450	8392	25	-129.64485
chr_MT	8456	8558	8514	25	-136.18662
chr_MT	8561	8648	8594	25	NA
chr_MT	8651	8809	8735	25	-132.69883
chr_MT	8815	8947	8869	25	-133.64027
chr_MT	8950	9121	9043	25	-141.36725
chr_MT	9130	9319	9227	25	-131.04979
chr_MT	9322	9566	9423	25	-130.61246
chr_MT	9575	9702	9635	25	NA
chr_MT	9716	9870	9805	25	NA
chr_MT	9882	10043	9965	25	NA
chr_MT	10051	10162	10109	25	NA
chr_MT	10165	10305	10243	25	-134.50561
chr_MT	10308	10627	10407	25	NA
chr_MT	10635	10761	10706	25	NA
chr_MT	10769	10887	10825	25	-131.65606
chr_MT	10890	10995	10944	25	-139.49590
chr_MT	10998	11109	11043	25	-128.67210
chr_MT	11112	11209	11159	25	-163.69991
chr_MT	11211	11346	11277	25	-149.68904
chr_MT	11350	11445	11396	25	-169.97227
chr_MT	11449	11563	11500	25	-137.14649
chr_MT	11577	12040	11745	25	-131.95115
chr_MT	12041	12177	12119	25	-164.34333
chr_MT	12186	12285	12229	25	-138.29675
chr_MT	12300	12411	12353	25	-145.08715
chr_MT	12420	12543	12466	25	NA
chr_MT	12546	12660	12612	25	NA
chr_MT	12661	12804	12738	25	-171.74601
chr_MT	12807	12927	12860	25	-150.08793
chr_MT	12935	13126	13033	25	-134.43171
chr_MT	13141	13242	13193	25	-124.40602
chr_MT	13245	13351	13301	25	-238.18146
chr_MT	13353	13469	13416	25	-141.34062
chr_MT	13470	13577	13532	25	-134.39196
chr_MT	13584	13719	13648	25	-130.02942
chr_MT	13728	13872	13794	25	-110.79365
chr_MT	13878	13995	13941	25	-183.80292
chr_MT	14010	14166	14100	25	-149.14664
chr_MT	14169	14307	14249	25	-130.90927
chr_MT	14310	14529	14445	25	NA
chr_MT	14556	14829	14670	25	-167.58652
chr_MT	14864	15052	14989	25	-187.10732
chr_MT	15054	15112	15082	25	-236.25738
chr_MT	15115	15163	15140	25	-250.91520
chr_MT	15165	15220	15187	25	-287.52522
chr_MT	15221	15413	15273	25	-228.23854
chr_MT	15423	15625	15527	25	-133.34951
chr_MT	15627	15775	15695	25	-196.46015
chr_MT	15780	15917	15857	25	NA
chr_MT	15919	18617	17030	25	NA
chr_MT	18620	18694	18651	25	NA
chr_MT	18700	18826	18769	25	-133.15048
chr_MT	18827	18944	18895	25	-154.15682
chr_MT	18946	19016	18980	25	-132.27896
chr_MT	19019	19151	19092	25	-171.86270
chr_MT	19154	19261	19215	25	-132.23718
chr_MT	19270	19389	19333	25	-126.40792
chr_MT	19398	19444	19416	18	NA
chr_W	17262	18794	18011	25	NA
chr_W	18854	20804	20047	25	NA
chr_W	20859	22838	21994	25	NA
chr_W	22840	27720	26049	25	NA
chr_W	28427	32360	30887	25	NA
chr_W	32538	34716	33605	25	NA
chr_W	34795	36022	35668	25	NA
chr_W	36028	37019	36398	25	NA
chr_W	37060	39091	37711	25	NA
chr_W	39124	44245	43042	25	NA
chr_W	44252	45870	44903	25	NA
chr_W	45886	47131	46402	25	NA
chr_W	47148	48550	47646	25	NA
chr_W	48697	49965	49311	25	NA
chr_W	50009	51953	51091	25	NA
chr_W	51980	53530	52896	25	-174.20659
chr_W	53552	53772	53670	25	NA
chr_W	53813	53917	53870	25	NA
chr_W	53940	54097	54016	25	-85.86954
chr_W	54104	54264	54176	25	-76.63085
chr_W	54273	54417	54327	25	NA
chr_W	54418	54545	54474	25	NA
chr_W	54546	55856	55347	25	-123.56736
chr_W	55859	56100	55968	25	-87.04102
chr_W	56106	56339	56247	25	-84.14807
chr_W	56356	56534	56450	25	NA
chr_W	56541	60666	57843	25	-146.00414
chr_W	61680	64345	63282	25	NA
chr_W	64346	67695	66193	25	NA
chr_W	67748	69992	68798	25	NA
chr_W	70005	74952	72455	25	NA
chr_W	74990	76469	75946	25	-133.66123
chr_W	76488	76782	76607	25	-114.37434
chr_W	76791	77364	77195	25	NA
chr_W	77365	77764	77497	25	-86.56285
chr_W	77896	78554	78288	25	-84.71220
chr_W	78645	79416	79167	25	-85.87464
chr_W	79418	79665	79515	25	-101.04335
chr_W	79678	80604	80209	25	-90.20963
chr_W	80642	80901	80769	25	-82.03982
chr_W	80920	81313	81095	25	-103.34974
chr_W	81347	81705	81491	25	-94.39956
chr_W	81722	82055	81897	25	-89.08646
chr_W	82077	82447	82255	25	-94.10040
chr_W	82484	82869	82641	25	-96.89525
chr_W	82906	83209	83049	25	-91.63614
chr_W	83238	83563	83392	25	-99.04393
chr_W	83628	84133	83872	25	-98.53590
chr_W	84154	84699	84356	25	-85.71855
chr_W	84719	85435	85134	25	-82.39396
chr_W	85444	85823	85622	25	-88.19763
chr_W	85842	86377	86113	25	-92.03624
chr_W	86415	86963	86662	25	-107.41828
chr_W	86968	87511	87207	25	-108.14910
chr_W	87535	87948	87753	25	-90.68204
chr_W	87970	88489	88279	25	NA
chr_W	88490	88845	88654	25	-97.01957
chr_W	88877	89300	89120	25	NA
chr_W	89301	89793	89578	25	-92.88941
chr_W	89797	90155	90000	25	-98.60479
chr_W	90178	90464	90322	25	-84.92270
chr_W	90743	91622	91368	25	-93.34392
