scaffold	start	end	mid	sites	lnL
chr_MT	5	436	275	50	-266.24781
chr_MT	439	897	700	50	-255.94504
chr_MT	898	1190	1040	50	-238.83262
chr_MT	1205	1634	1442	50	-242.63377
chr_MT	1635	1873	1768	50	-253.20097
chr_MT	1879	2255	2079	50	-247.11874
chr_MT	2256	2701	2519	50	-269.79873
chr_MT	2706	2981	2857	50	-304.06817
chr_MT	2984	3215	3095	50	-270.78766
chr_MT	3218	3512	3361	50	-285.87122
chr_MT	3513	3713	3600	50	-258.59435
chr_MT	3725	4090	3896	50	-330.14406
chr_MT	4096	4298	4195	50	-282.10985
chr_MT	4300	4537	4417	50	-253.53331
chr_MT	4549	4876	4723	50	-262.59993
chr_MT	4877	5129	4993	50	NA
chr_MT	5134	5596	5390	50	-217.58680
chr_MT	5605	5893	5754	50	-289.16449
chr_MT	5896	6217	6060	50	-278.73094
chr_MT	6223	6535	6380	50	-288.28345
chr_MT	6547	6854	6698	50	-309.73720
chr_MT	6859	7260	7084	50	-269.45236
chr_MT	7270	8159	7887	50	-280.92567
chr_MT	8160	8450	8318	50	-256.76766
chr_MT	8456	8648	8554	50	-262.93196
chr_MT	8651	8947	8802	50	-273.88931
chr_MT	8950	9319	9135	50	-289.36562
chr_MT	9322	9702	9529	50	-283.90981
chr_MT	9716	10043	9885	50	NA
chr_MT	10051	10305	10176	50	-332.79600
chr_MT	10308	10761	10556	50	NA
chr_MT	10769	10995	10885	50	-290.14252
chr_MT	10998	11209	11101	50	-316.86160
chr_MT	11211	11445	11336	50	-325.58821
chr_MT	11449	12040	11622	50	-287.34309
chr_MT	12041	12285	12174	50	-323.80064
chr_MT	12300	12543	12409	50	NA
chr_MT	12546	12804	12675	50	-323.40248
chr_MT	12807	13126	12946	50	-329.86648
chr_MT	13141	13351	13247	50	-381.98657
chr_MT	13353	13577	13474	50	-290.85520
chr_MT	13584	13872	13721	50	-252.81916
chr_MT	13878	14166	14020	50	-361.88144
chr_MT	14169	14529	14347	50	-285.70928
chr_MT	14556	15052	14829	50	-410.33472
chr_MT	15054	15163	15111	50	-560.90494
chr_MT	15165	15413	15230	50	-596.07308
chr_MT	15423	15775	15611	50	-383.87636
chr_MT	15780	18617	16443	50	NA
chr_MT	18620	18826	18710	50	-320.16579
chr_MT	18827	19016	18937	50	-292.39012
chr_MT	19019	19261	19154	50	-309.87786
chr_MT	19270	19444	19368	43	-240.72812
chr_W	17262	20804	19029	50	NA
chr_W	20859	27720	24022	50	NA
chr_W	28427	34716	32246	50	NA
chr_W	34795	37019	36033	50	NA
chr_W	37060	44245	40377	50	NA
chr_W	44252	47131	45653	50	NA
chr_W	47148	49965	48479	50	NA
chr_W	50009	53530	51994	50	-377.05631
chr_W	53552	53917	53770	50	-197.06065
chr_W	53940	54264	54096	50	-165.84356
chr_W	54273	54545	54400	50	NA
chr_W	54546	56100	55657	50	-214.00241
chr_W	56106	56534	56348	50	-166.73580
chr_W	56541	64345	60563	50	-339.79285
chr_W	64346	69992	67495	50	NA
chr_W	70005	76469	74200	50	-301.88469
chr_W	76488	77364	76901	50	-191.58684
chr_W	77365	78554	77892	50	-174.05860
chr_W	78645	79665	79341	50	-186.69683
chr_W	79678	80901	80489	50	-173.79655
chr_W	80920	81705	81293	50	-199.94499
chr_W	81722	82447	82076	50	-182.20090
chr_W	82484	83209	82845	50	-191.15107
chr_W	83238	84133	83632	50	-202.43956
chr_W	84154	85435	84745	50	-170.07020
chr_W	85444	86377	85867	50	-179.05198
chr_W	86415	87511	86934	50	-219.56424
chr_W	87535	88489	88016	50	-193.55464
chr_W	88490	89300	88887	50	-192.15142
chr_W	89301	90155	89789	50	-193.54399
chr_W	90178	91622	90845	50	-178.83735
chr_W	91624	95935	93891	50	-278.31295
chr_W	95954	96509	96243	50	-156.26462
chr_W	96527	97188	96851	50	-180.14083
chr_W	97191	98984	98193	50	-255.61720
chr_W	98996	99499	99219	50	-185.27283
chr_W	99518	126252	110904	50	-310.05657
chr_W	126320	126902	126545	50	-198.72548
chr_W	126925	128599	127904	50	-203.32386
chr_W	128616	129239	128962	50	-214.04600
chr_W	129245	129880	129579	50	-170.73713
chr_W	129889	130602	130207	50	-186.75939
chr_W	130604	131748	131203	50	-193.61054
chr_W	131756	132726	132361	50	-177.43247
chr_W	132756	133655	133130	50	-195.52913
chr_W	133670	134321	134012	50	-198.48046
chr_W	134360	134874	134626	50	-165.02035
chr_W	134876	135681	135300	50	-184.08858
chr_W	135684	136428	136021	50	-193.95862
chr_W	136429	137051	136738	50	-204.86919
chr_W	137052	141091	138628	50	-264.45910
chr_W	141092	143956	143000	50	-243.72361
chr_W	143980	144355	144138	50	-180.98746
chr_W	144365	146286	145075	50	-276.16240
chr_W	146296	147340	146741	50	-200.63050
chr_W	147353	147972	147694	50	-198.39800
chr_W	147976	148512	148232	50	-190.63824
chr_W	148514	149290	148893	50	-182.73532
chr_W	149348	153261	150696	50	-226.89028
chr_W	153284	154269	153923	50	-215.11075
chr_W	154275	154973	154647	50	-193.19517
chr_W	154990	155502	155278	50	NA
chr_W	155511	157356	156556	50	-255.01217
chr_W	157357	158005	157689	50	-188.02329
chr_W	158009	158638	158258	50	-191.84543
chr_W	158646	159400	159062	50	-196.68302
chr_W	159401	160436	159855	50	-186.45974
chr_W	160445	161796	161221	50	-181.50055
chr_W	161810	162903	162305	50	-183.79236
chr_W	162916	164208	163584	50	-181.42156
chr_W	164229	167511	165955	50	NA
chr_W	167579	170560	169132	50	NA
chr_W	170813	173265	172692	50	NA
chr_W	173274	174449	173826	50	NA
chr_W	174456	175592	175062	50	NA
chr_W	175637	176524	176063	50	NA
chr_W	176525	177462	177007	50	NA
chr_W	177464	178875	178121	50	NA
chr_W	178881	181757	180657	50	NA
chr_W	181798	183913	183182	50	-269.68679
chr_W	183914	191014	186148	50	-249.42474
chr_W	191022	191650	191328	50	NA
chr_W	191661	192576	192185	50	-203.82307
chr_W	192582	193000	192826	50	-172.22854
chr_W	193031	193938	193548	50	-203.52356
chr_W	193939	194715	194269	50	-181.62185
