scaffold	start	end	mid	sites	lnL
chr_MT	5	1873	1045	250	-1337.08093
chr_MT	1879	3512	2782	250	-1487.26088
chr_MT	3513	4876	4166	250	-1475.02087
chr_MT	4877	6535	5715	250	-1412.96663
chr_MT	6547	8648	7708	250	-1448.86584
chr_MT	8651	10305	9505	250	-1558.99872
chr_MT	10308	12040	11100	250	-1689.98699
chr_MT	12041	13351	12690	250	-1842.12814
chr_MT	13353	15052	14078	250	-1730.24676
chr_MT	15054	18826	16221	250	-2850.41253
chr_MT	18827	19444	19142	143	-892.48316
chr_W	17262	44245	30341	250	NA
chr_W	44252	54264	50798	250	-1365.21116
chr_W	54273	69992	58893	250	-1308.07560
chr_W	70005	80901	77765	250	-1063.33417
chr_W	80920	85435	82918	250	-970.74475
chr_W	85444	90155	87899	250	-1007.95240
chr_W	90178	98984	95204	250	-1098.83704
chr_W	98996	129239	118707	250	-1217.05429
chr_W	129245	133655	131296	250	-940.81733
chr_W	133670	137051	135340	250	-967.91149
chr_W	137052	147340	143516	250	-1214.02744
chr_W	147353	154269	149888	250	-1057.59959
chr_W	154275	158638	156486	250	-1027.83330
chr_W	158646	164208	161205	250	-966.95972
chr_W	164229	175592	171333	250	NA
chr_W	175637	183913	179006	250	-3454.94546
chr_W	183914	193938	191207	250	-1050.95548
chr_W	193939	197324	195719	250	-938.12178
chr_W	197325	210503	202250	250	-1195.03437
chr_W	210507	221001	216961	250	-1153.71438
chr_W	221005	292966	251409	250	-1750.02162
chr_W	292976	296539	294849	250	-962.54843
chr_W	296543	320216	312886	250	-1402.05448
chr_W	320721	336496	330600	250	-1529.05696
chr_W	336502	341423	338645	250	-1011.73670
chr_W	341425	351055	347757	250	-1205.83723
chr_W	351058	365345	358247	250	-1374.69217
chr_W	365352	397328	381909	250	-2412.97763
chr_W	397394	451753	423315	250	-2990.13226
chr_W	451772	461024	457277	250	-2345.62485
chr_W	461057	482896	474909	250	-1821.66581
chr_W	482900	519933	500263	250	-1587.58865
chr_W	519935	522136	520712	250	-1342.82647
chr_W	522150	529406	526625	250	-1370.62899
chr_W	529413	547506	535678	250	-1388.37520
chr_W	547617	572057	564215	250	-1436.13840
chr_W	572065	577695	574250	250	-1109.14128
chr_W	577710	596118	582527	250	-1220.14414
chr_W	596230	696570	620775	250	-2380.19060
chr_W	696571	704668	701570	250	-1366.94413
chr_W	704672	716816	709189	250	-1442.66423
chr_W	716929	727219	722443	250	NA
chr_W	727562	744746	738946	250	-1210.04903
chr_W	744752	755052	750336	250	-1106.50609
chr_W	755097	761494	757793	250	-1286.76841
chr_W	761500	773774	767528	250	-1076.11698
chr_W	773782	782312	777759	250	-1098.98421
chr_W	782400	788878	786836	250	-1343.56378
chr_W	788890	803457	796123	250	-1544.94540
chr_W	803468	818168	808729	250	-1185.80187
chr_W	818176	824839	821935	250	-1036.22962
chr_W	824860	829927	827385	250	-1304.84584
chr_W	829934	836248	833045	250	-1103.30732
chr_W	838579	922713	885766	250	NA
chr_W	922720	943167	933378	250	NA
chr_W	943318	952458	950298	250	-1291.04712
chr_W	952463	977116	960165	250	-1320.84910
chr_W	977120	983004	979208	250	-1325.40461
chr_W	983071	998036	990790	250	NA
chr_W	998066	1015619	1004888	250	-2251.00123
chr_W	1015620	1026655	1021891	250	-1300.90110
chr_W	1026657	1028998	1027852	250	-1048.64402
chr_W	1028999	1032992	1030726	250	-1045.19170
chr_W	1033003	1052334	1041534	250	-2577.11667
chr_W	1053202	1063300	1061116	250	-1146.61832
chr_W	1063301	1068930	1065589	250	-980.97177
chr_W	1068954	1072531	1070781	250	-923.37243
chr_W	1072575	1077205	1074771	250	-953.48534
chr_W	1077208	1081706	1078969	250	-1004.41729
chr_W	1081741	1088149	1085668	250	-1065.24744
chr_W	1088153	1093369	1090735	250	-1149.58690
chr_W	1093375	1100938	1095841	250	-1059.86528
chr_W	1101079	1144477	1118786	250	-1635.17816
chr_W	1144501	1171173	1154318	250	-1342.99985
chr_W	1171273	1188658	1183114	250	-1526.25054
chr_W	1188662	1203711	1191871	250	-1233.82221
chr_W	1203712	1222925	1212457	250	NA
chr_W	1223099	1243426	1235887	250	-2239.96262
chr_W	1243433	1257121	1247506	250	-1397.35685
chr_W	1257203	1278042	1265881	250	-1545.42640
chr_W	1278060	1302506	1294029	250	NA
chr_W	1302516	1311989	1307652	250	-2136.99709
chr_W	1314569	1402997	1344171	250	NA
chr_W	1403241	1425676	1416331	250	NA
chr_W	1425714	1458147	1443947	250	NA
chr_W	1462922	1475117	1466595	250	-1142.85221
chr_W	1475122	1481602	1478332	250	-1024.95922
chr_W	1481605	1488585	1485247	250	-1051.27489
chr_W	1488588	1493904	1490981	250	-1041.36187
chr_W	1493915	1500834	1496738	250	-1272.11510
chr_W	1500864	1505967	1503291	250	-1086.23626
chr_W	1505968	1524010	1512585	250	-1275.23963
chr_W	1524023	1591877	1543951	250	-1248.15713
chr_W	1591878	1600946	1596735	250	-1408.07158
chr_W	1600948	1611728	1606522	250	-1129.51906
chr_W	1611732	1614955	1613231	250	-1034.02195
chr_W	1614976	1618915	1616576	250	-1015.80042
chr_W	1618966	1701491	1635947	250	-1765.66975
chr_W	1701500	1705239	1703688	250	-994.65956
chr_W	1705243	1709449	1707273	250	-999.64819
chr_W	1709455	1713591	1711561	250	-956.93868
chr_W	1713602	1720743	1716549	250	-1346.17546
chr_W	1720744	1729590	1724648	250	-1773.20509
chr_W	1729601	1742911	1736678	250	NA
chr_W	1742982	1757710	1749929	250	-1442.82598
chr_W	1757731	1776960	1769073	250	-1378.59955
chr_W	1776970	1780451	1778904	250	-1007.76350
chr_W	1780464	1782599	1781539	250	-1068.98087
chr_W	1782604	1791715	1786849	250	-1077.22492
chr_W	1791732	1800730	1795448	250	-1068.93017
chr_W	1800738	1803924	1802232	250	-1088.32870
chr_W	1803925	1809380	1806602	250	-1029.47875
chr_W	1809392	1819041	1812939	250	-1204.42602
chr_W	1819056	1824289	1822427	250	-1477.62439
chr_W	1824294	1832543	1828439	250	-2044.62422
chr_W	1832555	1846768	1840101	250	-1331.65049
chr_W	1846778	1855476	1850917	250	-1047.61512
chr_W	1855510	1864312	1860495	250	-1739.57475
chr_W	1864320	1883583	1876403	250	-2022.22430
chr_W	1883588	1889690	1885506	250	-1140.63616
chr_W	1889842	1902149	1898401	250	-1273.21370
chr_W	1902163	1909997	1905121	250	-1958.22046
chr_W	1910020	1922421	1919218	250	-1459.18387
chr_W	1922439	1942028	1933248	250	NA
chr_W	1942090	1949032	1946501	250	-1614.73094
chr_W	1949063	1962948	1958713	250	-2719.83295
chr_W	1962953	1971326	1967501	250	-1168.73048
chr_W	1971351	1976791	1973303	250	-1195.94986
chr_W	1976795	2009474	1987040	250	-1564.53904
chr_W	2009475	2018193	2014086	250	-2738.76259
chr_W	2018197	2022023	2019700	250	-1009.35465
chr_W	2022030	2035550	2028182	250	-1409.81906
chr_W	2035564	2044362	2039383	250	-1474.69349
chr_W	2044366	2078103	2051412	250	-1302.31863
chr_W	2078114	2086583	2083308	250	-2164.28423
chr_W	2086589	2090347	2088709	250	-2332.56590
chr_W	2090361	2101793	2093184	250	-3321.53482
chr_W	2101795	2105602	2103710	250	-4593.48763
chr_W	2105617	2117810	2110490	250	-2737.33664
chr_W	2117871	2143450	2133314	250	NA
chr_W	2143628	2152536	2147990	250	-2209.64579
chr_W	2152544	2164486	2157463	250	NA
chr_W	2167683	2203325	2192056	250	-1664.61820
chr_W	2203345	2224879	2213455	250	-1936.68915
chr_W	2224914	2236112	2231524	250	-1231.47743
chr_W	2236117	2240447	2238218	250	-1104.85919
chr_W	2240474	2248770	2242764	250	-1074.10218
chr_W	2249115	2293996	2282498	250	-1586.78430
chr_W	2294002	2318152	2304481	250	-2689.20195
chr_W	2318251	2338812	2329970	250	-1386.19079
chr_W	2338813	2347122	2342463	250	-2003.26366
chr_W	2347135	2353617	2351132	250	-1448.40564
chr_W	2353619	2367630	2361756	250	-1156.35919
chr_W	2367672	2376244	2370763	250	-1133.24759
chr_W	2376254	2387481	2384903	250	-1973.91289
